序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
1,标准《水稻品种标准描述规范》的编号是什么？,该标准的编号为19990065-T-326。,水稻品种标准描述规范,19990065-T-326,事实型问答,GraphRAG-MCP快路径,standard_7aad3d70d00df9f9,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
2,标准《小麦、水稻、玉米中重金属（CrCdhgPbAs）及氟化物限量标准》的编号是什么？,该标准的编号为20000074-Q-326。,小麦、水稻、玉米中重金属（CrCdhgPbAs）及氟化物限量标准,20000074-Q-326,事实型问答,GraphRAG-MCP快路径,standard_7923185fcc327ff9,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
3,标准《优质杂交水稻种子》的编号是什么？,该标准的编号为20000085-T-326。,优质杂交水稻种子,20000085-T-326,事实型问答,GraphRAG-MCP快路径,standard_365ce174e4aca245,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=153,机器构建后待人工复核
4,标准《水稻钵育抛秧综合栽培技术规程》的编号是什么？,该标准的编号为20000168-T-424。,水稻钵育抛秧综合栽培技术规程,20000168-T-424,事实型问答,GraphRAG-MCP快路径,standard_c763727ba6f728e2,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
5,标准《水稻品种抗病虫性评价技术规范》的编号是什么？,该标准的编号为20010078-T-326。,水稻品种抗病虫性评价技术规范,20010078-T-326,事实型问答,GraphRAG-MCP快路径,standard_eb92f30541cd7c15,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
6,标准《水稻种子产地检疫规程》的编号是什么？,该标准的编号为20010146-Q-326。,水稻种子产地检疫规程,20010146-Q-326,事实型问答,GraphRAG-MCP快路径,standard_84a0c563e55104b7,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
7,标准《杂交水稻 三系制种技术规程》的编号是什么？,该标准的编号为20030364-T-424。,杂交水稻 三系制种技术规程,20030364-T-424,事实型问答,GraphRAG-MCP快路径,standard_cabf4244a44158d5,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=153,机器构建后待人工复核
8,标准《杂交水稻高产晚稻栽培技术规程》的编号是什么？,该标准的编号为20030365-T-424。,杂交水稻高产晚稻栽培技术规程,20030365-T-424,事实型问答,GraphRAG-MCP快路径,standard_b7c54a3d7e92c29a,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
9,标准《杂交水稻高产早稻栽培技术规程》的编号是什么？,该标准的编号为20030366-T-424。,杂交水稻高产早稻栽培技术规程,20030366-T-424,事实型问答,GraphRAG-MCP快路径,standard_687a3256e9dc85bb,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=130,机器构建后待人工复核
10,标准《水稻种子纯度快速检测技术规范》的编号是什么？,该标准的编号为20050117-T-326。,水稻种子纯度快速检测技术规范,20050117-T-326,事实型问答,GraphRAG-MCP快路径,standard_0d4fdcb84609abe7,https://std.samr.gov.cn/search/stdPage?q=%E6%B0%B4%E7%A8%BB&pageNo=126,机器构建后待人工复核
